  9.6071044E+02 	-3.3356271E+08 	 4.2788687E+08 	 4.8321565E+08 	 2.3969863E+03 	-3.6355280E+03 	-4.0904849E+03 	
  9.8808111E+02 	-3.3349711E+08 	 4.2778736E+08 	 4.8310369E+08 	 2.3969958E+03 	-3.6355402E+03 	-4.0904987E+03 	
  1.0154518E+03 	-3.3343150E+08 	 4.2768786E+08 	 4.8299173E+08 	 2.3970053E+03 	-3.6355523E+03 	-4.0905124E+03 	
  1.0428224E+03 	-3.3336589E+08 	 4.2758835E+08 	 4.8287977E+08 	 2.3970148E+03 	-3.6355645E+03 	-4.0905262E+03 	
  1.0701931E+03 	-3.3330028E+08 	 4.2748884E+08 	 4.8276781E+08 	 2.3970243E+03 	-3.6355767E+03 	-4.0905400E+03 	
  1.0975638E+03 	-3.3323467E+08 	 4.2738933E+08 	 4.8265584E+08 	 2.3970338E+03 	-3.6355889E+03 	-4.0905537E+03 	
  1.1249344E+03 	-3.3316907E+08 	 4.2728982E+08 	 4.8254388E+08 	 2.3970433E+03 	-3.6356011E+03 	-4.0905675E+03 	
  1.1523051E+03 	-3.3310346E+08 	 4.2719031E+08 	 4.8243192E+08 	 2.3970528E+03 	-3.6356133E+03 	-4.0905813E+03 	
  1.1796758E+03 	-3.3303785E+08 	 4.2709080E+08 	 4.8231996E+08 	 2.3970623E+03 	-3.6356255E+03 	-4.0905951E+03 	
  1.2070465E+03 	-3.3297224E+08 	 4.2699130E+08 	 4.8220800E+08 	 2.3970719E+03 	-3.6356378E+03 	-4.0906089E+03 	
  1.2344171E+03 	-3.3290663E+08 	 4.2689179E+08 	 4.8209603E+08 	 2.3970814E+03 	-3.6356500E+03 	-4.0906227E+03 	
  1.2617878E+03 	-3.3284102E+08 	 4.2679227E+08 	 4.8198407E+08 	 2.3970909E+03 	-3.6356622E+03 	-4.0906365E+03 	
  1.2891585E+03 	-3.3277541E+08 	 4.2669276E+08 	 4.8187211E+08 	 2.3971005E+03 	-3.6356744E+03 	-4.0906503E+03 	
  1.3165291E+03 	-3.3270980E+08 	 4.2659325E+08 	 4.8176014E+08 	 2.3971100E+03 	-3.6356867E+03 	-4.0906641E+03 	
  1.3438998E+03 	-3.3264419E+08 	 4.2649374E+08 	 4.8164818E+08 	 2.3971196E+03 	-3.6356989E+03 	-4.0906780E+03 	
  1.3712705E+03 	-3.3257858E+08 	 4.2639423E+08 	 4.8153621E+08 	 2.3971291E+03 	-3.6357112E+03 	-4.0906918E+03 	
  1.3986411E+03 	-3.3251297E+08 	 4.2629472E+08 	 4.8142425E+08 	 2.3971387E+03 	-3.6357234E+03 	-4.0907056E+03 	
