  1.5686504E+02 	 3.4535922E+00 	 3.1371367E+01 	-3.4462872E-04 	 8.9444472E-03 	-4.6161638E-05 	-2.1071181E-06 	 3.6081030E-04 	 2.0534542E-01 	-3.4858899E+01 	-7.6746495E-01 	-6.9714150E+00 	 7.6584161E-05 	-1.9876550E-03 	 1.0258142E-05 	-2.1228904E-06 	 3.6081040E-04 	 2.0534542E-01 	
  1.5685955E+02 	 3.6984944E+00 	 3.1370918E+01 	-3.5836927E-04 	 8.9439429E-03 	-4.7284519E-05 	-2.4270592E-06 	 3.8657809E-04 	 2.0534626E-01 	-3.4857678E+01 	-8.2188767E-01 	-6.9713152E+00 	 7.9637616E-05 	-1.9875429E-03 	 1.0507671E-05 	-2.4439581E-06 	 3.8657820E-04 	 2.0534626E-01 	
  1.5685368E+02 	 3.9433890E+00 	 3.1370438E+01 	-3.7210915E-04 	 8.9434174E-03 	-4.8407357E-05 	-2.7568474E-06 	 4.1234597E-04 	 2.0534710E-01 	-3.4856374E+01 	-8.7630868E-01 	-6.9712086E+00 	 8.2690923E-05 	-1.9874261E-03 	 1.0757191E-05 	-2.7748728E-06 	 4.1234608E-04 	 2.0534710E-01 	
  1.5684743E+02 	 4.1882753E+00 	 3.1369928E+01 	-3.8584833E-04 	 8.9428707E-03 	-4.9530150E-05 	-3.0964824E-06 	 4.3811393E-04 	 2.0534793E-01 	-3.4854986E+01 	-9.3072787E-01 	-6.9710952E+00 	 8.5744076E-05 	-1.9873046E-03 	 1.1006700E-05 	-3.1156345E-06 	 4.3811403E-04 	 2.0534793E-01 	
  1.5684081E+02 	 4.4331529E+00 	 3.1369387E+01 	-3.9958679E-04 	 8.9423028E-03 	-5.0652895E-05 	-3.4459648E-06 	 4.6388196E-04 	 2.0534876E-01 	-3.4853514E+01 	-9.8514510E-01 	-6.9709749E+00 	 8.8797067E-05 	-1.9871784E-03 	 1.1256199E-05 	-3.4662436E-06 	 4.6388206E-04 	 2.0534876E-01 	
  1.5683381E+02 	 4.6780210E+00 	 3.1368815E+01 	-4.1332449E-04 	 8.9417138E-03 	-5.1775590E-05 	-3.8052948E-06 	 4.8965005E-04 	 2.0534959E-01 	-3.4851959E+01 	-1.0395602E+00 	-6.9708478E+00 	 9.1849888E-05 	-1.9870476E-03 	 1.1505687E-05 	-3.8267000E-06 	 4.8965016E-04 	 2.0534959E-01 	
  1.5682644E+02 	 4.9228792E+00 	 3.1368212E+01 	-4.2706140E-04 	 8.9411037E-03 	-5.2898232E-05 	-4.1744723E-06 	 5.1541821E-04 	 2.0535041E-01 	-3.4850320E+01 	-1.0939732E+00 	-6.9707139E+00 	 9.4902534E-05 	-1.9869120E-03 	 1.1755163E-05 	-4.1970041E-06 	 5.1541831E-04 	 2.0535041E-01 	
  1.5681869E+02 	 5.1677268E+00 	 3.1367579E+01 	-4.4079748E-04 	 8.9404724E-03 	-5.4020821E-05 	-4.5534976E-06 	 5.4118641E-04 	 2.0535123E-01 	-3.4848598E+01 	-1.1483838E+00 	-6.9705732E+00 	 9.7954996E-05 	-1.9867717E-03 	 1.2004627E-05 	-4.5771560E-06 	 5.4118652E-04 	 2.0535123E-01 	
  1.5681056E+02 	 5.4125633E+00 	 3.1366915E+01 	-4.5453270E-04 	 8.9398199E-03 	-5.5143352E-05 	-4.9423709E-06 	 5.6695466E-04 	 2.0535205E-01 	-3.4846792E+01 	-1.2027919E+00 	-6.9704256E+00 	 1.0100727E-04 	-1.9866267E-03 	 1.2254079E-05 	-4.9671559E-06 	 5.6695477E-04 	 2.0535205E-01 	
  1.5680206E+02 	 5.6573881E+00 	 3.1366220E+01 	-4.6826703E-04 	 8.9391462E-03 	-5.6265825E-05 	-5.3410922E-06 	 5.9272295E-04 	 2.0535286E-01 	-3.4844902E+01 	-1.2571974E+00 	-6.9702712E+00 	 1.0405934E-04 	-1.9864770E-03 	 1.2503517E-05 	-5.3670038E-06 	 5.9272306E-04 	 2.0535286E-01 	
